"","A1SEPA_z","A1PAGE_M2","A1PRSEX","raceA","A1SE2","A1SE3","A1SE4","A1PC1","sibling","CEDUC4cat","A1PC14","A1SE9","A1SE7","A1SE8c","mom_smk","dad_smk","B1PA58","A1SE6","flourish_z","emotion_z","social_z","psych_z","B1SPOSAFz","B1SQ1z","B1SSWBMSz","B1SSWBSIz","B1SSWBAOz","B1SSWBSCz","B1SSWBSAz","B1SPWBA1z","B1SPWBE1z","B1SPWBG1z","B1SPWBR1z","B1SPWBU1z","B1SPWBS1z"
"2150",0.027071019268311,56,"b.Female","a.White",1,1,1,1,1,"d.College degree or more",0,6,"b.Small town",1,0,1,0,"a.Very important",-0.0793637743677583,-0.0305055627510969,0.0563958748824965,-0.205781364430032,-0.130067898357208,0.080422695736275,-0.0660638451897861,-0.180882939770395,-0.0124729193706438,0.36517281849886,0.0867571507408265,-2.14039399050475,0.0615976540346453,0.565290928599601,0.569476989183957,1.10722145081216,-1.14670678799677
"2151",-0.227838967616176,52,"a.Male","c.Others",0,0,0,1,3,"b.High school",0,6,"e.City",1,0,0,0,"a.Very important",1.4114447398474,0.874780752944856,1.47108674084748,1.17999815648248,0.813295894993628,0.73346808860904,1.55672065673869,1.07464637640556,1.50323320962128,0.911173288166846,0.338522999949499,0.469700271428349,0.993667419032568,0.878072815034142,1.09599308941466,0.813822702215687,0.702538767170462
"2152",-0.227838967616176,31,"b.Female","a.White",1,1,1,1,2,"d.College degree or more",0,5,"f.Moved around",0,0,0,0,"a.Very important",1.17150276697971,0.236974210045675,1.23530492985331,1.45715406066499,0.34161399831821,0.080422695736275,1.55672065673869,-0.431988803005586,0.593809532226126,1.45717375783483,1.34558639678419,1.12222383691162,0.682977497366594,1.19085470146868,1.09599308941466,1.40062019940863,0.702538767170462
"2153",1.55653094057523,41,"a.Male","a.White",1,1,1,1,2,"d.College degree or more",0,4,"b.Small town",1,0,0,0,"a.Very important",1.05241702521646,0.874780752944856,0.370771622874715,1.38786508461936,0.813295894993628,0.73346808860904,-0.0660638451897861,0.82354051317037,0.290668306427741,1.45717375783483,-1.17207209530254,-0.182823294054927,0.993667419032568,1.19085470146868,1.09599308941466,1.40062019940863,1.23089464007539
"2154",1.30162095369075,52,"b.Female","a.White",1,1,1,1,4,"b.High school",0,4,"b.Small town",0,1,1,0,"a.Very important",0.513664688007602,0.473561093749698,0.0563958748824965,0.76426430020873,0.105773049980501,0.73346808860904,-1.03973454634687,1.32575223964075,-0.315614145169029,0.36517281849886,-0.416774547676519,0.469700271428349,0.372287575700619,0.565290928599601,0.83273503929931,0.227025205022747,0.702538767170462
"2155",1.1741659602485,58,"b.Female","a.White",1,1,1,1,1,"d.College degree or more",0,4,"b.Small town",1,0,1,0,"b.Somewhat important",1.53629417239958,1.24510752304726,1.54968067784553,1.04142020439123,0.813295894993628,1.38651348148181,1.23216375635299,1.32575223964075,1.2000919838229,0.911173288166846,0.842054698366845,0.469700271428349,0.993667419032568,0.878072815034142,1.09599308941466,0.227025205022747,0.702538767170462
"2156",1.1741659602485,61,"b.Female","a.White",1,1,1,1,5,"c.Some college",0,4,"a.Rural",1,0,1,0,"a.Very important",0.836955453550286,1.24510752304726,-0.257979873109722,1.11070918043686,0.813295894993628,1.38651348148181,-0.390620745575481,0.0702229234647964,0.290668306427741,-0.453827886003119,-0.416774547676519,1.44848561965326,0.372287575700619,0.878072815034142,1.09599308941466,-0.359772292170194,1.23089464007539
"2158",0.536890993037285,38,"a.Male","a.White",1,1,1,1,3,"a.Less than high school",0,4,"a.Rural",1,0,0,0,"b.Somewhat important",-2.63617184066197,-1.87197108323575,-1.20110711708638,-3.46236323857445,-2.72431833007201,-0.57262269713649,-0.0660638451897861,-1.68751811918154,-0.315614145169029,-0.453827886003119,-1.42383794451121,-1.48787042502148,-3.0453015626251,-2.24974604931127,-3.11613571243099,-1.82676603515254,-2.73177440671154
"2159",1.30162095369075,54,"b.Female","a.White",1,1,1,1,0,"c.Some college",0,5,"b.Small town",1,0,1,0,"a.Very important",1.00605200042789,0.370714096444061,1.31389886685137,0.833553276254356,0.577454946655919,0.080422695736275,0.907606855967298,1.32575223964075,0.896950758024511,1.45717375783483,0.0867571507408265,1.44848561965326,0.993667419032568,1.19085470146868,1.09599308941466,-2.12016478374901,0.966716703622924
"2161",-0.100383974173933,49,"a.Male","a.White",1,1,1,1,3,"d.College degree or more",0,5,"b.Small town",0,1,1,0,"b.Somewhat important",0.253360006442124,0.607300980148084,-0.100791999113613,0.140663515798097,0.34161399831821,0.73346808860904,-0.0660638451897861,-0.431988803005586,-0.0124729193706438,-1.54582882533909,1.59735224599286,-0.509085076796565,0.682977497366594,0.252509042165059,-1.53658741173887,1.10722145081216,0.702538767170462
"2163",1.04671096680626,35,"a.Male","a.White",1,1,1,1,5,"d.College degree or more",0,5,"d.Suburbs",1,1,1,0,"b.Somewhat important",0.884670813867132,0.134127212740038,0.763741307864987,1.31857610857374,0.813295894993628,-0.57262269713649,1.55672065673869,-0.934200529475969,1.50323320962128,-0.453827886003119,1.34558639678419,1.44848561965326,0.993667419032568,0.565290928599601,0.83273503929931,1.10722145081216,0.702538767170462
"2164",1.04671096680626,42,"a.Male","a.White",1,1,1,1,0,"b.High school",0,4,"b.Small town",1,0,1,0,"b.Somewhat important",0.165494341776373,-0.133352560056734,0.213583748878606,0.348530443934975,0.34161399831821,-0.57262269713649,0.907606855967298,-0.934200529475969,0.290668306427741,0.0921725836648668,0.590288849158172,0.795962054169986,0.372287575700619,0.565290928599601,-0.220297161162103,-0.0663735435737235,0.174182894265538
"2165",0.536890993037285,27,"b.Female","a.White",1,1,1,0,5,"c.Some college",1,2,"e.City",1,1,0,0,"b.Somewhat important",-1.11868664297925,-1.17237876215107,-0.415167747105831,-1.17582702906879,-0.837590743370336,-1.22566809000926,-1.03973454634687,-0.180882939770395,-0.315614145169029,-0.180827651169126,0.0867571507408265,-1.16160864227984,-1.49185195429523,-0.0602728442694822,-1.27332936162352,0.520423953619217,-1.41088472444923
"2166",0.409435999595042,46,"b.Female","a.White",1,1,1,1,3,"b.High school",0,4,"b.Small town",1,0,1,0,"a.Very important",-0.0465242206242413,-0.400832332853506,-0.808137432096103,1.11070918043686,-0.130067898357208,-0.57262269713649,-0.390620745575481,-0.934200529475969,-0.921896596765798,0.638173053332853,-1.17207209530254,1.12222383691162,0.993667419032568,0.878072815034142,1.09599308941466,0.520423953619217,0.174182894265538
"2167",1.1741659602485,73,"b.Female","a.White",1,1,1,1,2,"b.High school",0,5,"e.City",0,0,1,0,"b.Somewhat important",-0.901528599576144,-0.771159102955915,-0.415167747105831,-1.03724907697754,-0.130067898357208,-1.22566809000926,-0.715177645961176,0.0702229234647964,0.896950758024511,-0.999828355671105,-0.668540396885192,-1.48787042502148,-2.11323179762717,-1.62418227644219,1.09599308941466,-0.653171040766664,-0.0899950421869232
"2168",0.409435999595042,35,"a.Male","a.White",1,1,1,1,5,"a.Less than high school",0,4,"e.City",1,0,0,0,"a.Very important",0.567143739113368,0.370714096444061,0.29217768587666,0.76426430020873,0.577454946655919,0.080422695736275,0.258493055195909,-0.431988803005586,-0.618755370967414,1.45717375783483,0.338522999949499,-0.182823294054927,0.993667419032568,0.878072815034142,-1.01007131150816,1.40062019940863,1.23089464007539
