"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"69",9,"ours.0.01",0.134,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.01)"
"70",9,"ours.0.05",0.288,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.05)"
"71",9,"Romano",0.324,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Romano"
"72",9,"Wstep",0.22,25,"ha.resid",1000,1,40,0,0,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Wstep"
"73",10,"bonf.naive",0.208,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Bonferroni"
"74",10,"holm",0.208,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Holm"
"76",10,"minP",0.214,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","minP"
"77",10,"ours.0.01",0.144,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.01)"
"78",10,"ours.0.05",0.246,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.05)"
"79",10,"Romano",0.306,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Romano"
"80",10,"Wstep",0.214,26,"ha.resid",1000,1,40,0,0.1,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Wstep"
"81",11,"bonf.naive",0.18,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Bonferroni"
"82",11,"holm",0.18,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Holm"
"84",11,"minP",0.202,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","minP"
"85",11,"ours.0.01",0.166,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.01)"
"86",11,"ours.0.05",0.182,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.05)"
"87",11,"Romano",0.284,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Romano"
"88",11,"Wstep",0.202,27,"ha.resid",1000,1,40,0,0.3,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Wstep"
"89",12,"bonf.naive",0.106,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Bonferroni"
"90",12,"holm",0.106,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Holm"
"92",12,"minP",0.166,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","minP"
